County,FIPS,Met Healthy People Objective of ***?,incidence_rate,Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,State
Aleutians East Borough,02013,***,157.4,91.7, 254,N/A , 25 , 26,5,*,*,*,*,Alaska
Ziebach County,46137,***,190.8,119, 289.1,N/A , 61 , 66,5,stable,-0.5 ,-6.0, 5.4,South Dakota
Jeff Davis County,48243,***,211.2,149.3, 307.8,N/A , 205 , 250,10,stable,-2.9 ,-6.2, 0.4,Texas
Bristol City,51520,***,214.7,187.9, 244.5,N/A , 129 , 133,50,falling,-10.1 ,-15.0, -5.0,Virginia
Roberts County,48393,***,222.6,125.5, 380.6,N/A , 16 , 250,3,*,*,*,*,Texas
Presidio County,48377,***,223.1,181.1, 272.6,N/A , 227 , 250,22,stable,-2.4 ,-5.4, 0.6,Texas
Lee County,51105,***,231.0,207.9, 256.2,N/A , 128 , 133,79,falling,-4.6 ,-6.9, -2.2,Virginia
Culberson County,48109,***,231.3,156.9, 330.8,N/A , 168 , 250,7,falling,-4.0 ,-6.5, -1.3,Texas
Scott County,51169,***,232.4,208.8, 258.3,N/A , 128 , 133,79,falling,-4.1 ,-7.0, -1.1,Virginia
Russell County,51167,***,238.9,216.8, 262.9,N/A , 128 , 133,95,falling,-8.5 ,-11.6, -5.2,Virginia
Sioux County,31165,***,241.0,142.3, 390.3,N/A , 39 , 90,5,*,*,*,*,Nebraska
Catron County,35003,***,242.9,190.6, 313.2,N/A , 25 , 33,21,falling,-7.1 ,-10.4, -3.7,New Mexico
Summit County,08117,***,244.9,218.7, 273.4,N/A , 54 , 63,81,falling,-3.0 ,-4.8, -1.1,Colorado
Issaquena County,28055,***,251.5,158.3, 390.3,N/A , 64 , 82,5,*,*,*,*,Mississippi
Eureka County,32011,***,259.4,166.8, 389.5,N/A , 8 , 17,5,*,*,*,*,Nevada
Buchanan County,51027,***,259.7,234.5, 287.3,N/A , 125 , 133,85,falling,-2.7 ,-4.3, -1.1,Virginia
San Juan County,49037,***,260.3,224.8, 299.9,N/A , 26 , 29,40,stable,0.1 ,-0.7, 1.0,Utah
Costilla County,08023,***,260.4,201.2, 334.6,N/A , 31 , 63,17,falling,-3.7 ,-6.1, -1.3,Colorado
McMullen County,48311,***,260.6,150.7, 438.9,N/A , 8 , 250,3,*,*,*,*,Texas
Lincoln County,32017,***,261.5,203.5, 332.6,N/A , 13 , 17,16,*,*,*,*,Nevada
Whitman County,53075,***,261.6,238.7, 286.1,N/A , 37 , 39,102,falling,-3.9 ,-5.5, -2.2,Washington
Niobrara County,56027,***,264.2,192.7, 357,N/A , 16 , 23,10,stable,-2.4 ,-5.9, 1.2,Wyoming
Sully County,46119,***,265.0,166.5, 405.5,N/A , 33 , 66,5,stable,-1.1 ,-5.8, 3.9,South Dakota
Wibaux County,30109,***,267.8,170, 415.5,N/A , 26 , 56,5,stable,-3.4 ,-7.2, 0.5,Montana
Conejos County,08021,***,268.5,224.6, 319,N/A , 39 , 63,28,stable,-1.7 ,-3.7, 0.3,Colorado
