Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,emission_types
121 REGIONAL DISPOSAL FACILITY,MELISSA,Texas,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.29857,-96.53586,562212,HH,Waste,504064.0,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
23rd and 3rd,BROOKLYN,New York,11232,730 3rd Avenue,Kings,40.663,-74.0,221112,"C,D",Power Plants,60819.7,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
3Bear Libby Gas Plant,Hobbs,New Mexico,88240,674 Marathon Rd,LEA COUNTY,32.540693,-103.522351,211130,"C,W-PROC",Petroleum and Natural Gas Systems,40521.812,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Processing
31st Street Landfill,WESTCHESTER,Illinois,60154,11700 W 31ST ST,COOK COUNTY,41.835129,-87.915924,562212,"C,HH",Waste,100500.948,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Municipal Landfills
3M BROWNWOOD,BROWNWOOD,Texas,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.671177,-98.996513,326113,"C,N",Minerals,29359.64,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Glass Production
3M CO,MAPLEWOOD,Minnesota,55144,,RAMSEY COUNTY,44.951,-92.9959,541715,C,Other,82308.238,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
50 Buttes Gas Plant,Gillette,Wyoming,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.760929,-105.785087,213112,"C,W-PROC",Petroleum and Natural Gas Systems,72243.536,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Processing
3M CO - GUIN,GUIN,Alabama,35563,6675 US HIGHWAY 43,MARION COUNTY,33.96548,-87.89936,326113,"C,N",Minerals,27083.0,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Glass Production
3M CO - WAUSAU DOWNTOWN,WAUSAU,Wisconsin,54401,144 ROSECRANS ST,MARATHON COUNTY,44.95018,-89.63766,212313,C,Other,46909.124,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
3M COMPANY,DECATUR,Alabama,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.641667,-87.038611,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers",44016.264024,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>HFC emissions<br>Very Short-lived Compounds emissions<br>Other GHGs (metric tons CO2e)<br>Stationary Combustion<br>Fluorinated GHG Production
3M CORDOVA,CORDOVA,Illinois,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.755,-90.284167,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers",657865.8974,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>HFC emissions<br>PFC emissions<br>SF6 emissions <br>Other Fully Fluorinated GHG emissions<br>HFE emissions<br>Very Short-lived Compounds emissions<br>Other GHGs (metric tons CO2e)<br>Stationary Combustion<br>Fluorinated GHG Production
3M Cottage Grove Center - Site,Cottage Grove,Minnesota,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.789444,-92.908333,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals",49540.272991,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>HFC emissions<br>Other Fully Fluorinated GHG emissions<br>HFE emissions<br>Very Short-lived Compounds emissions<br>Other GHGs (metric tons CO2e)<br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Fluorinated GHG Production<br>Glass Production
3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,Arkansas,72206,3110 WALTERS DRIVE,PULASKI COUNTY,34.708919,-92.239492,212399,C,Other,33733.426,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,Minnesota,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.879677,-94.359598,326199,C,Other,39621.3,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
3M NEVADA PLANT,NEVADA,Missouri,64772,2120 E. AUSTIN,VERNON COUNTY,37.834476,-94.330625,326113,C,Other,31562.832,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
3M Pittsboro,Moncure,North Carolina,27559,4191 Hwy 87 South,,35.660546,-79.176782,327999,C,Minerals,25996.852,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
48th Street Peaking Station,HOLLAND,Michigan,49423,491 E 48TH ST,Allegan,42.7553,-86.0853,221112,"C,D",Power Plants,49160.668,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
58TH ST LF (MAIN COUNTY LF),MIAMI,Florida,33178,8831 NW 58TH ST,MIAMI-DADE COUNTY,25.83301,-80.3465,562212,HH,Waste,63873.5,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
59th Street,NEW YORK,New York,10019,850 12TH AVE,New York,40.7711,-73.9911,221330,C,Power Plants,149968.982,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
69TH ST WWTP,HOUSTON,Texas,77020,2525 SSGT MACARIO GARCIA DR,HARRIS COUNTY,29.75579,-95.29791,221320,C,Other,21730.668,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
74th Street,NEW YORK,New York,10021,506 E 75TH ST,New York,40.768,-73.9515,221330,C,Power Plants,174902.712,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
A B Brown Generating Station,MOUNT VERNON,Indiana,47620,8511 WELBORN ROAD,Posey,37.9053,-87.715,221112,D,Power Plants,2386473.354,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation
"A.C.M.S., Inc.",Lake Panasoffkee,Florida,33538,835 CR 529,SUMTER COUNTY,28.743151,-82.091653,562212,HH,Waste,210709.75,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
A.J. Mihm Generating Station,Pelkie,Michigan,49958,816017 Sarya Road,,46.793722,-88.616566,221112,C,Power Plants,123398.136,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABB Inc.,Mt. Pleasant,Pennsylvania,15666,100 Distribution Circle,WESTMORELAND COUNTY,40.17811,-79.57707,335313,SS,Other,11023.8,Total reported direct emissions<br>SF6 emissions <br>Manufacture of Electric Transmission and Distribution Equipment
ABBOTT PARK FACILITY,ABBOTT PARK,Illinois,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.30227,-87.89065,424210,C,Other,55009.392,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABBVIE LTD.,BARCELONETA,PR,617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.433237,-66.570509,325412,C,Chemicals,64383.468,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABC COKE,TARRANT,Alabama,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,33.580769,-86.781281,324199,"C,Q",Metals,171414.198,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Iron and Steel Production
ABERDEEN ENERGY LLC,MINA,South Dakota,57451,13435 370TH AVENUE,EDMUNDS COUNTY,45.442417,-98.787139,325193,C,Other,196953.308,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,Maryland,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.395404,-76.30773,928110,C,Other,95765.878,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),Iowa,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.49951,-92.91709,325193,"C,II","Other,Waste",142519.35,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Industrial Wastewater Treatment
ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,Louisiana,70531,611 PETAL RD,ACADIA PARISH,30.256038,-92.532637,562111,HH,Waste,45082.5,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
AC 857 A,Offshore,Texas,0,,,26.29555555,-94.89777777,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,195340.752,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Offshore Production
ACE ETHANOL LLC,STANLEY,Wisconsin,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.9589,-90.9608,325193,"C,PP","Other,Suppliers of CO2",69300.84,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
